mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.021231810251871746,0.0005601000766877578,0.014218727747599283,0.01360840868584134,3,2,10,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 10}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9444444444444443,0.01571348402636772,13
0.07570099830627441,0.002255534678485427,0.01011220614115397,5.237773962804951e-05,3,2,50,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.14649033546447754,0.001849798198896923,0.01758607228597005,0.00020878647112048884,3,2,100,"{'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.01793082555135091,0.0005575622021841848,0.004128217697143555,7.697659305050595e-05,3,4,10,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 10}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9444444444444443,0.01571348402636772,13
0.07590675354003906,0.0002860226122837794,0.010416507720947266,0.00026417086986205667,3,4,50,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 50}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.14855281511942545,0.00887551573464423,0.018241723378499348,0.0015111706866752892,3,4,100,"{'max_depth': 3, 'min_samples_split': 4, 'n_estimators': 100}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.016637802124023438,6.636350206625389e-05,0.0038738250732421875,3.34743986980621e-05,5,2,10,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 10}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9444444444444443,0.01571348402636772,13
0.07269016901652019,0.00013318764536435183,0.00997304916381836,7.205528566252779e-05,5,2,50,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.15460006395975748,0.016749017188277284,0.017449061075846355,9.189695258254343e-05,5,2,100,"{'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.9,0.9666666666666667,0.9666666666666667,0.9444444444444445,0.03142696805273544,11
0.016936779022216797,0.00020491879230897606,0.003864765167236328,3.751186327141076e-05,5,4,10,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 10}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9444444444444443,0.01571348402636772,13
0.0723271369934082,0.00011362456847422891,0.009823878606160482,8.468264864584099e-05,5,4,50,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 50}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.1439976692199707,0.0006119727357679359,0.017360687255859375,0.00011801229974111165,5,4,100,"{'max_depth': 5, 'min_samples_split': 4, 'n_estimators': 100}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.017951250076293945,0.0005045356639902506,0.004250367482503255,0.0002223773029930656,10,2,10,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 10}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9444444444444443,0.01571348402636772,13
0.07343180974324544,0.00028086628365402356,0.010102510452270508,0.0004665736869671227,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.14409025510152182,0.00014376809456756242,0.017322222391764324,0.00021716162138788085,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",0.9,0.9666666666666667,0.9666666666666667,0.9444444444444445,0.03142696805273544,11
0.017132282257080078,0.0002452158750080811,0.003951152165730794,3.4689334290839164e-05,10,4,10,"{'max_depth': 10, 'min_samples_split': 4, 'n_estimators': 10}",0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9444444444444443,0.01571348402636772,13
0.0733648141225179,0.00035705501098631955,0.010126590728759766,0.0002954787029776108,10,4,50,"{'max_depth': 10, 'min_samples_split': 4, 'n_estimators': 50}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
0.14641165733337402,0.004444117522202993,0.017899274826049805,0.0004859251791619525,10,4,100,"{'max_depth': 10, 'min_samples_split': 4, 'n_estimators': 100}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9555555555555556,0.01571348402636772,1
